Include,StudyID,GroupID,LaboratoryID,PopulationID,EffectID,Title,Year,Authors_all,Lab_PI,Journal,DOI,Species,Developmental_mode,Mean_clutch_size,SD_clutch_size,SE_clutch_size,Focal_clutch_number,Max_clutch_number,Study_area,Lat_study_area,Long_study_area,Elev_study_area,Year_collection,Study_type,Egg_n_collected,Time_collection,Egg_sampl_method,Egg_store,Egg_homog,Egg_homog_name,Site_horm_measured,Horm_measured,Horm_extracted_colum,Method_horm_meas,AntibodyKit,Horm_units,Horm_mean,Horm_Var,Horm_Var_Type,Exp_mother_egg,Method_mother_exp,Type_mother_exp,Horm_mother_exp,Horm_mother_units,Horm_mother_lab,Horm_mother_applied_dose,Horm_mother_mean_nat,Horm_mother_dose_exp,Horm_mother_SD,Horm_mother_cateogrical_dose,Time_mother_exp,Egg_order_exp,Egg_n_exp,Percent_egg_exp,Time_egg_exp,Method_egg_exp,Site_egg_exp,Horm_egg_exp,Horm_egg_units,Horm_egg_lab,Horm_egg_applied_dose,Horm_egg_mean_nat,Horm_egg_dose_exp,Horm_egg_SD,Horm_egg_cateogrical_dose,Solvent_egg_used_exp,Fitness_trait,Fitness_mother,Fitness_offs,Off_life_stage,Off_age,Off_average_nesting_time,Off_relative_age,Off_sex,Blind_data_recording,Partial_or_selective_data_rep,TestStat_N_level,TestStat_N_clutch,TestStat_N_off,TestStat_Type,TestStat_NumberOfPredictors,TestStat_Value,TestStat_df,TestStat_p,TestStat_p_comment,TestDirection,Exp_N_level,Control_Mean,Control_Var,Control_N_clutch,Control_N_off,Exp_Mean,Exp_Var,Exp_N_clutch,Exp_N_off,Shared_control,Shared_control_ID,Var_type,Var_type_comment ,DataLocation,DataSource,DataReporting,Raw,Notes,Quotes,ExtractionID,Extraction_check_observer,Extraction_check_notes,Reply_LM,Comments_after_author_response,Final_exclusion_paper_why,Least_square_means,Cross_fostering,Incubation_prior,Effect_size_type
yes,rayyan-123814348,GR_P_09,Lab_ID_24,Population_ID_8,NA,Effects of elevated egg corticosterone levels on behavior; growth; and immunity of yellow-legged gull (Larus michahellis) chicks,2005,Rubolini; D. and Romano; M. and Boncoraglio; G. and Ferrari; R.P. and Martinelli; R. and Galeotti; P. and Fasola; M. and Saino; N.,Saino,Hormones and Behavior,10.1016/j.yhbeh.2005.01.006,Larus michahellis,semi-precocial,NA,NA,NA,1,1,Comacchio; Italy,44.333333,12.183333,0,2002-2003-2004,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,albumen,corticosterone,ng,NA,15,85.9,17.46216531,1,within natural range,plant oil,offspring,NA,tarsus,before independence,7;9,NA,NA,NA,NA,NA,offspring,NA,208,NA,NA,NA,NA,NA,NA,NA,offspring,35.59,6.79,NA,108,35.85,6.54,NA,100,no,NA,SD,NA,p600; fig5,figure,complete,no,NA,NA,LM,LM; ASF,IMPORTANT: this information was taken after revising the paper. i.e.; the person that extracted the data did not consider this info. ,NA,NA,NA,no,no,no,Mean
yes,rayyan-123814348,GR_P_09,Lab_ID_24,Population_ID_8,NA,Effects of elevated egg corticosterone levels on behavior; growth; and immunity of yellow-legged gull (Larus michahellis) chicks,2005,Rubolini; D. and Romano; M. and Boncoraglio; G. and Ferrari; R.P. and Martinelli; R. and Galeotti; P. and Fasola; M. and Saino; N.,Saino,Hormones and Behavior,10.1016/j.yhbeh.2005.01.006,Larus michahellis,semi-precocial,NA,NA,NA,1,1,Comacchio; Italy,44.333333,12.183333,0,2002-2003-2004,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,albumen,corticosterone,ng,NA,15,85.9,17.46216531,1,within natural range,plant oil,offspring,NA,tarsus,before independence,10;12,NA,NA,NA,NA,NA,offspring,NA,203,NA,NA,NA,NA,NA,NA,NA,offspring,41.87,6.79,NA,108,42,8.83,NA,95,no,NA,SD,NA,p600; fig5,figure,complete,no,NA,NA,LM,LM; ASF,IMPORTANT: this information was taken after revising the paper. i.e.; the person that extracted the data did not consider this info. ,NA,NA,NA,no,no,no,Mean
yes,rayyan-123814348,GR_P_09,Lab_ID_24,Population_ID_8,NA,Effects of elevated egg corticosterone levels on behavior; growth; and immunity of yellow-legged gull (Larus michahellis) chicks,2005,Rubolini; D. and Romano; M. and Boncoraglio; G. and Ferrari; R.P. and Martinelli; R. and Galeotti; P. and Fasola; M. and Saino; N.,Saino,Hormones and Behavior,10.1016/j.yhbeh.2005.01.006,Larus michahellis,semi-precocial,NA,NA,NA,1,1,Comacchio; Italy,44.333333,12.183333,0,2002-2003-2004,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,albumen,corticosterone,ng,NA,15,85.9,17.46216531,1,within natural range,plant oil,offspring,NA,tarsus,before independence,13-15,NA,NA,NA,NA,NA,offspring,NA,179,NA,NA,NA,NA,NA,NA,NA,offspring,47.63,8.88,NA,94,48.15,4.83,NA,85,no,NA,SD,NA,p600; fig5,figure,complete,no,NA,NA,LM,LM; ASF,IMPORTANT: this information was taken after revising the paper. i.e.; the person that extracted the data did not consider this info. ,NA,NA,NA,no,no,no,Mean
yes,rayyan-123814348,GR_P_09,Lab_ID_24,Population_ID_8,NA,Effects of elevated egg corticosterone levels on behavior; growth; and immunity of yellow-legged gull (Larus michahellis) chicks,2005,Rubolini; D. and Romano; M. and Boncoraglio; G. and Ferrari; R.P. and Martinelli; R. and Galeotti; P. and Fasola; M. and Saino; N.,Saino,Hormones and Behavior,10.1016/j.yhbeh.2005.01.006,Larus michahellis,semi-precocial,NA,NA,NA,1,1,Comacchio; Italy,44.333333,12.183333,0,2002-2003-2004,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,albumen,corticosterone,ng,NA,15,85.9,17.46216531,1,within natural range,plant oil,offspring,NA,tarsus,before independence,16-18,NA,NA,NA,NA,NA,offspring,NA,153,NA,NA,NA,NA,NA,NA,NA,offspring,53.12,6.03,NA,85,53.64,4.32,NA,68,no,NA,SD,NA,p600; fig5,figure,complete,no,NA,NA,LM,LM; ASF,IMPORTANT: this information was taken after revising the paper. i.e.; the person that extracted the data did not consider this info. ,NA,NA,NA,no,no,no,Mean
yes,rayyan-123814348,GR_P_09,Lab_ID_24,Population_ID_8,NA,Effects of elevated egg corticosterone levels on behavior; growth; and immunity of yellow-legged gull (Larus michahellis) chicks,2005,Rubolini; D. and Romano; M. and Boncoraglio; G. and Ferrari; R.P. and Martinelli; R. and Galeotti; P. and Fasola; M. and Saino; N.,Saino,Hormones and Behavior,10.1016/j.yhbeh.2005.01.006,Larus michahellis,semi-precocial,NA,NA,NA,1,1,Comacchio; Italy,44.333333,12.183333,0,2002-2003-2004,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,albumen,corticosterone,ng,NA,15,85.9,17.46216531,1,within natural range,plant oil,offspring,NA,tarsus,before independence,19,NA,NA,NA,NA,NA,offspring,NA,141,NA,NA,NA,NA,NA,NA,NA,offspring,57.18,9.54,NA,83,57.83,4.98,NA,58,no,NA,SD,NA,p600; fig5,figure,complete,no,NA,NA,LM,LM; ASF,IMPORTANT: this information was taken after revising the paper. i.e.; the person that extracted the data did not consider this info. ,NA,NA,NA,no,no,no,Mean
yes,rayyan-123814348,GR_P_09,Lab_ID_24,Population_ID_8,NA,Effects of elevated egg corticosterone levels on behavior; growth; and immunity of yellow-legged gull (Larus michahellis) chicks,2005,Rubolini; D. and Romano; M. and Boncoraglio; G. and Ferrari; R.P. and Martinelli; R. and Galeotti; P. and Fasola; M. and Saino; N.,Saino,Hormones and Behavior,10.1016/j.yhbeh.2005.01.006,Larus michahellis,semi-precocial,NA,NA,NA,1,1,Comacchio; Italy,44.333333,12.183333,0,2002-2003-2004,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,albumen,corticosterone,ng,NA,15,85.9,17.46216531,1,within natural range,plant oil,offspring,NA,tarsus,before independence,20-23,NA,NA,NA,NA,NA,offspring,NA,40,NA,NA,NA,NA,NA,NA,NA,offspring,59.27,5.23,NA,25,58.75,4.56,NA,15,no,NA,SD,NA,p600; fig5,figure,complete,no,NA,NA,LM,LM; ASF,IMPORTANT: this information was taken after revising the paper. i.e.; the person that extracted the data did not consider this info. ,NA,NA,NA,no,no,no,Mean
yes,rayyan-123814350,GR_N_04,Lab_ID_22,Population_ID_8,NA,Effects of elevated yolk testosterone levels on survival; growth and immunity of male and female yellow-legged gull chicks,2006,Rubolini; D. and Romano; M. and Martinelli; R. and Saino; N.,Rubolini,Behavioral Ecology and Sociobiology,10.1007/s00265-005-0057-0,Larus michahellis,semi-precocial,NA,NA,NA,NA,NA,Comacchio; Italy,44.33,12.18,NA,2004,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,yolk,testosterone,ng,Sigma; Germany,261,12.6,2071.428571,2,NA,plant oil,mother,hatching success,NA,NA,NA,NA,NA,NA,NA,NA,clutch,124,334,Chi-square (mixed model),3,1.58,NA,0.21,p-value; estimate: -0.29 +/- 0.22 (SE),negative,clutch,0.5,0.05,62,168,0.43,0.04,62,166,no,NA,SE,NA,p347,text; table 2,complete,no,horm_egg_mean and SE is given in ng/g but the amount of T in treatment is not a unit of concentration. Thus; the automatic formula is not appropiate. The absolute average amoung of hormone is ~300 ng in one yolk,NA,MNA,LM,The entire clutch was manipulated.,NA,NA,NA,no,no,no,Mean
yes,rayyan-123814350,GR_N_04,Lab_ID_22,Population_ID_8,NA,Effects of elevated yolk testosterone levels on survival; growth and immunity of male and female yellow-legged gull chicks,2006,Rubolini; D. and Romano; M. and Martinelli; R. and Saino; N.,Rubolini,Behavioral Ecology and Sociobiology,10.1007/s00265-005-0057-0,Larus michahellis,semi-precocial,NA,NA,NA,NA,NA,Comacchio; Italy,44.33,12.18,NA,2004,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,yolk,testosterone,ng,Sigma; Germany,261,12.6,2071.428571,2,NA,plant oil,offspring,NA,tarsus,before independence,4,NA,NA,NA,NA,NA,offspring,NA,NA,NA,NA,NA,NA,NA,NA,NA,offspring,31.44352113,2.501300004,NA,71,31.43778846,2.550603238,NA,52,no,NA,SD,NA,p349; data sent by author,text; word file,complete,no,horm_egg_mean and SE is given in ng/g but the amount of T in treatment is not a unit of concentration. Thus; the automatic formula is not appropiate. The absolute average amoung of hormone is ~300 ng in one yolk,NA,MNA,LM,"The entire clutch was manipulated. I think the number of factors in the model is 7 because in the final table that appears in Table 1 ""treatment"" is not there (because is not significant). So the final number of factors should be 6 + 1 (treat)",NA,important - after contating the author; the author told me that sample sizes were wrong (i.e.; the number that appeared in the paper for control chicks was actually testo; and the other way around). I therefore modified this.,NA,no,no,no,Mean
yes,rayyan-123814350,GR_N_04,Lab_ID_22,Population_ID_8,NA,Effects of elevated yolk testosterone levels on survival; growth and immunity of male and female yellow-legged gull chicks,2006,Rubolini; D. and Romano; M. and Martinelli; R. and Saino; N.,Rubolini,Behavioral Ecology and Sociobiology,10.1007/s00265-005-0057-0,Larus michahellis,semi-precocial,NA,NA,NA,NA,NA,Comacchio; Italy,44.33,12.18,NA,2004,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,yolk,testosterone,ng,Sigma; Germany,261,12.6,2071.428571,2,NA,plant oil,offspring,NA,tarsus,before independence,9,NA,NA,NA,NA,NA,offspring,NA,79,F-test (mixed model),7,1.37,49,0.25,p-value,negative,offspring,39.2488,3.183,NA,43,38.8829,3.97939,NA,36,no,NA,SD,NA,data sent by author,word file,complete,no,horm_egg_mean and SE is given in ng/g but the amount of T in treatment is not a unit of concentration. Thus; the automatic formula is not appropiate. The absolute average amoung of hormone is ~300 ng in one yolk,NA,MNA,LM,"The entire clutch was manipulated. I think the number of factors in the model is 7 because in the final table that appears in Table 1 ""treatment"" is not there (because is not significant). So the final number of factors should be 6 + 1 (treat)",NA,important - after contating the author; the author told me that sample sizes were wrong (i.e.; the number that appeared in the paper for control chicks was actually testo; and the other way around). I therefore modified this.,NA,no,no,no,Mean
yes,rayyan-123814350,GR_N_04,Lab_ID_22,Population_ID_8,NA,Effects of elevated yolk testosterone levels on survival; growth and immunity of male and female yellow-legged gull chicks,2006,Rubolini; D. and Romano; M. and Martinelli; R. and Saino; N.,Rubolini,Behavioral Ecology and Sociobiology,10.1007/s00265-005-0057-0,Larus michahellis,semi-precocial,NA,NA,NA,NA,NA,Comacchio; Italy,44.33,12.18,NA,2004,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,yolk,testosterone,ng,Sigma; Germany,261,12.6,2071.428571,2,NA,plant oil,offspring,NA,mass,before independence,9,NA,NA,NA,NA,NA,offspring,NA,79,F-test (mixed model),8,2.59,49,0.11,p-value,negative,offspring,217.98,45.554,NA,43,202.22,42.152,NA,36,no,NA,SD,NA,p349; data sent by author,text; word file,complete,no,horm_egg_mean and SE is given in ng/g but the amount of T in treatment is not a unit of concentration. Thus; the automatic formula is not appropiate. The absolute average amoung of hormone is ~300 ng in one yolk,NA,MNA,LM,The entire clutch was manipulated.,NA,important - after contating the author; the author told me that sample sizes were wrong (i.e.; the number that appeared in the paper for control chicks was actually testo; and the other way around). I therefore modified this.,NA,no,no,no,Mean
yes,rayyan-123814350,GR_N_04,Lab_ID_22,Population_ID_8,NA,Effects of elevated yolk testosterone levels on survival; growth and immunity of male and female yellow-legged gull chicks,2006,Rubolini; D. and Romano; M. and Martinelli; R. and Saino; N.,Rubolini,Behavioral Ecology and Sociobiology,10.1007/s00265-005-0057-0,Larus michahellis,semi-precocial,NA,NA,NA,NA,NA,Comacchio; Italy,44.33,12.18,NA,2004,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,yolk,testosterone,ng,Sigma; Germany,261,12.6,2071.428571,2,NA,plant oil,offspring,NA,offspring survival,before independence,9,NA,NA,NA,NA,NA,offspring,NA,161,Wald-Chi square (linear model),3,0.02,NA,0.88,p-value; estimate: -0.02 +/- 0.16 (SE),negative,offspring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p349,table2,complete,no,horm_egg_mean and SE is given in ng/g but the amount of T in treatment is not a unit of concentration. Thus; the automatic formula is not appropiate. The absolute average amoung of hormone is ~300 ng in one yolk. Offspring survival calculated from day 0 to 9. Sample size corresponds to the number of hatchlings at day 0.,NA,MNA,LM,The entire clutch was manipulated.,NA,NA,NA,no,no,no,Wald-Chi square (linear model)
yes,rayyan-123814355,GR_P_10,Lab_ID_7,Population_ID_5,NA,Effects of experimentally manipulated yolk thyroid hormone levels on offspring development in a wild bird species,2016,Ruuskanen; Suvi and Darras; Veerle M. and Visser; Marcel E. and Groothuis; Ton G. G.,Groothuis,Hormones and Behavior,10.1016/j.yhbeh.2016.03.006,Parus major,altricial,NA,NA,NA,1,NA,Bennekom; The Netherlands,51.998056,5.676389,NA,2014,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ng,1.074,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,yolk,TH3 and TH4,ng,Sigma; Germany,0.66,1.074,61.45251397,2,within natural range,saline with no or less than 1% ethanol,mother,hatching success,NA,NA,NA,NA,NA,NA,NA,NA,clutch,62,420,Chi-square (generalized linear model),1,0.12,NA,0.38,p-value,positive,clutch,49.8,22.8,30,198,50.3,19.1,32,222,no,NA,SD,Percentage; with variance,p41,text,complete,no,It is written that data will be made available in Dryad but they are not,NA,PBD,LM; ASF,"even though we don't have info on clutch size; since all eggs from a clutch were modified we wrote 100. SD of the egg injection was 1 (not 1.18 which was the value that the person that extracted the data wrote). We define the dataset as ""complete"" because we have all data to calculate the effect size",NA,NA,NA,no,no,no,Mean
yes,rayyan-123814355,GR_P_10,Lab_ID_7,Population_ID_5,NA,Effects of experimentally manipulated yolk thyroid hormone levels on offspring development in a wild bird species,2016,Ruuskanen; Suvi and Darras; Veerle M. and Visser; Marcel E. and Groothuis; Ton G. G.,Groothuis,Hormones and Behavior,10.1016/j.yhbeh.2016.03.006,Parus major,altricial,NA,NA,NA,1,NA,Bennekom; The Netherlands,51.998056,5.676389,NA,2014,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ng,1.074,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,yolk,TH3 and TH4,ng,Sigma; Germany,0.66,1.074,61.45251397,2,within natural range,saline with no or less than 1% ethanol,offspring,NA,fledgling success,before independence,20,20,1,NA,NA,NA,offspring,61,212,Mixed model,4,1.28,32.6,0.27,p-value,negative,offspring,69.3,NA,NA,101,64,NA,NA,111,no,NA,NA,Absolute percentage; no variance,p41; raw data sent by authors,text,complete,yes,It is written that data will be made available in Dryad but they are not,NA,PBD,LM; ASF,"even though we don't have info on clutch size; since all eggs from a clutch were modified we wrote 100. SD of the egg injection was 1 (not 1.18 which was the value that the person that extracted the data wrote). We define the dataset as ""complete"" because we have all data to calculate the effect size",NA,NA,NA,no,no,no,Absolute
yes,rayyan-123814355,GR_P_10,Lab_ID_7,Population_ID_5,NA,Effects of experimentally manipulated yolk thyroid hormone levels on offspring development in a wild bird species,2016,Ruuskanen; Suvi and Darras; Veerle M. and Visser; Marcel E. and Groothuis; Ton G. G.,Groothuis,Hormones and Behavior,10.1016/j.yhbeh.2016.03.006,Parus major,altricial,NA,NA,NA,1,NA,Bennekom; The Netherlands,51.998056,5.676389,NA,2014,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ng,1.074,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,yolk,TH3 and TH4,ng,Sigma; Germany,0.66,1.074,61.45251397,2,within natural range,saline with no or less than 1% ethanol,offspring,NA,mass,before independence,2,20,0.1,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,offspring,3.530556,0.7299391,23,36,3.232,0.8373167,20,30,no,NA,SD,NA,tableS1; data sent by authors,supplementary materials; Excel file and R code,complete,yes,"Unfortunately the sample size for males and females in the different groups is never reported; only that ""Sex determination produced data of 66 females and 70 males""",NA,PBD,LM; ASF,The manipulations were done to all the eggs in the nest (even though one egg per nest was removed before) -this is why we wrote 'entire clutch'. The injection dose is reported in ng/yolk (not in pg/mg that also appears in the paper),NA,Exact sample sizes obtained from the raw data sent by authors. In the suppl tabla S1 that appears in the paper the authors reported SE. I calculated the SD from the raw data.,NA,no,no,no,Mean
yes,rayyan-123814355,GR_P_10,Lab_ID_7,Population_ID_5,NA,Effects of experimentally manipulated yolk thyroid hormone levels on offspring development in a wild bird species,2016,Ruuskanen; Suvi and Darras; Veerle M. and Visser; Marcel E. and Groothuis; Ton G. G.,Groothuis,Hormones and Behavior,10.1016/j.yhbeh.2016.03.006,Parus major,altricial,NA,NA,NA,1,NA,Bennekom; The Netherlands,51.998056,5.676389,NA,2014,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ng,1.074,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,yolk,TH3 and TH4,ng,Sigma; Germany,0.66,1.074,61.45251397,2,within natural range,saline with no or less than 1% ethanol,offspring,NA,mass,before independence,2,20,0.1,male,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,offspring,3.201429,0.83188,18,35,3.600857,0.7237215,23,35,no,NA,SD,NA,tableS1; data sent by authors,supplementary materials; Excel file and R code,complete,yes,"Unfortunately the sample size for males and females in the different groups is never reported; only that ""Sex determination produced data of 66 females and 70 males""",NA,PBD,LM; ASF,watchout: each nest has now a mix of control and treated offspring (because of very low hatching success) - so clutch is not at a female level. ,NA,Exact sample sizes obtained from the raw data sent by authors. In the suppl tabla S1 that appears in the paper the authors reported SE. I calculated the SD from the raw data.,NA,no,yes,no,Mean
yes,rayyan-123814355,GR_P_10,Lab_ID_7,Population_ID_5,NA,Effects of experimentally manipulated yolk thyroid hormone levels on offspring development in a wild bird species,2016,Ruuskanen; Suvi and Darras; Veerle M. and Visser; Marcel E. and Groothuis; Ton G. G.,Groothuis,Hormones and Behavior,10.1016/j.yhbeh.2016.03.006,Parus major,altricial,NA,NA,NA,1,NA,Bennekom; The Netherlands,51.998056,5.676389,NA,2014,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ng,1.074,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,yolk,TH3 and TH4,ng,Sigma; Germany,0.66,1.074,61.45251397,2,within natural range,saline with no or less than 1% ethanol,offspring,NA,wing,before independence,2,20,0.1,female,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,offspring,6.953125,0.892255,20,32,6.583333,1.225331,20,30,no,NA,SD,NA,tableS1; data sent by authors,supplementary materials; Excel file and R code,complete,yes,"Unfortunately the sample size for males and females in the different groups is never reported; only that ""Sex determination produced data of 66 females and 70 males""",NA,PBD,LM; ASF,watchout: each nest has now a mix of control and treated offspring (because of very low hatching success) - so clutch is not at a female level. ,NA,Exact sample sizes obtained from the raw data sent by authors. In the suppl tabla S1 that appears in the paper the authors reported SE. I calculated the SD from the raw data.,NA,no,yes,no,Mean
yes,rayyan-123814355,GR_P_10,Lab_ID_7,Population_ID_5,NA,Effects of experimentally manipulated yolk thyroid hormone levels on offspring development in a wild bird species,2016,Ruuskanen; Suvi and Darras; Veerle M. and Visser; Marcel E. and Groothuis; Ton G. G.,Groothuis,Hormones and Behavior,10.1016/j.yhbeh.2016.03.006,Parus major,altricial,NA,NA,NA,1,NA,Bennekom; The Netherlands,51.998056,5.676389,NA,2014,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ng,1.074,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,yolk,TH3 and TH4,ng,Sigma; Germany,0.66,1.074,61.45251397,2,within natural range,saline with no or less than 1% ethanol,offspring,NA,wing,before independence,2,20,0.1,male,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,offspring,6.370968,1.048553,16,31,6.969697,0.918043,22,33,no,NA,SD,NA,tableS1; data sent by authors,supplementary materials; Excel file and R code,complete,yes,"Unfortunately the sample size for males and females in the different groups is never reported; only that ""Sex determination produced data of 66 females and 70 males""",NA,PBD,LM; ASF,watchout: each nest has now a mix of control and treated offspring (because of very low hatching success) - so clutch is not at a female level. ,NA,Exact sample sizes obtained from the raw data sent by authors. In the suppl tabla S1 that appears in the paper the authors reported SE. I calculated the SD from the raw data.,NA,no,yes,no,Mean
yes,rayyan-123814355,GR_P_10,Lab_ID_7,Population_ID_5,NA,Effects of experimentally manipulated yolk thyroid hormone levels on offspring development in a wild bird species,2016,Ruuskanen; Suvi and Darras; Veerle M. and Visser; Marcel E. and Groothuis; Ton G. G.,Groothuis,Hormones and Behavior,10.1016/j.yhbeh.2016.03.006,Parus major,altricial,NA,NA,NA,1,NA,Bennekom; The Netherlands,51.998056,5.676389,NA,2014,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ng,1.074,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,yolk,TH3 and TH4,ng,Sigma; Germany,0.66,1.074,61.45251397,2,within natural range,saline with no or less than 1% ethanol,offspring,NA,mass,before independence,7,20,0.35,female,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,offspring,11.07278,1.439489,23,36,10.78,1.461389,20,30,no,NA,SD,NA,tableS1; data sent by authors,supplementary materials; Excel file and R code,complete,yes,"Unfortunately the sample size for males and females in the different groups is never reported; only that ""Sex determination produced data of 66 females and 70 males""",NA,PBD,LM; ASF,watchout: each nest has now a mix of control and treated offspring (because of very low hatching success) - so clutch is not at a female level. ,NA,Exact sample sizes obtained from the raw data sent by authors. In the suppl tabla S1 that appears in the paper the authors reported SE. I calculated the SD from the raw data.,NA,no,yes,no,Mean
yes,rayyan-123814355,GR_P_10,Lab_ID_7,Population_ID_5,NA,Effects of experimentally manipulated yolk thyroid hormone levels on offspring development in a wild bird species,2016,Ruuskanen; Suvi and Darras; Veerle M. and Visser; Marcel E. and Groothuis; Ton G. G.,Groothuis,Hormones and Behavior,10.1016/j.yhbeh.2016.03.006,Parus major,altricial,NA,NA,NA,1,NA,Bennekom; The Netherlands,51.998056,5.676389,NA,2014,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ng,1.074,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,NA,100,during laying/after clutch completion/before incubation,injection,yolk,TH3 and TH4,ng,Sigma; Germany,0.66,1.074,61.45251397,2,within natural range,saline with no or less than 1% ethanol,offspring,NA,mass,before independence,7,20,0.35,male,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,offspring,10.82147,1.98028,18,34,11.46771,1.398619,23,35,no,NA,SD,NA,tableS1; data sent by authors,supplementary materials; Excel file and R code,complete,yes,"Unfortunately the sample size for males and females in the different groups is never reported; only that ""Sex determination produced data of 66 females and 70 males""",NA,PBD,LM; ASF,watchout: each nest has now a mix of control and treated offspring (because of very low hatching success) - so clutch is not at a female level. ,NA,Exact sample sizes obtained from the raw data sent by authors. In the suppl tabla S1 that appears in the paper the authors reported SE. I calculated the SD from the raw data.,NA,no,yes,no,Mean
