key,title,authors,journal,issn,volume,issue,pages,day,month,year,publisher,pmc_id,pubmed,url,abstract,notes
Meuthen2020597,Anticipatory plastic response of the cellular immune system in the face of future injury: chronic high perceived predation risk induces lymphocytosis in a cichlid fish,"Meuthen, D. and Meuthen, I. and Bakker, T.C.M. and ThÃ¼nken, T.",Oecologia,298549,194,4,597-607,,,2020,Springer Science and Business Media Deutschland GmbH,,,10.1007/s00442-020-04781-y,"Vertebrate cellular immunity displays substantial variation among taxa and environments. Hematological parameters such as white blood-cell counts have emerged as a valuable tool to understand this variation by assessing the immunological status of individuals. These tools have long revealed that vertebrate cellular immune systems are highly plastic and respond to injury and infection. However, cellular immune systems may also be able to anticipate a high risk of injury from environmental cues (e.g., predation-related cues) and respond plastically ahead of time. We studied white blood-cell (leukocyte) profiles in African cichlids Pelvicachromis taeniatus that were raised for 4Â years under different levels of perceived predation risk. In a split-clutch design, we raised fish from hatching onwards under chronic exposure to either conspecific alarm cues (communicating high predation risk) or a distilled water control treatment. Differential blood analysis revealed that alarm cue-exposed fish had twice as many lymphocytes in peripheral blood as did controls, a condition called lymphocytosis. The presence of a higher number of lymphocytes makes the cellular immune response more potent, which accelerates the removal of invading foreign antigens from the bloodstream, and, therefore, may be putatively beneficial in the face of injury. This observed lymphocytosis after long-term exposure to conspecific alarm cues constitutes first evidence for an anticipatory and adaptive plastic response of the cellular immune system to future immunological challenges. Â© 2020, The Author(s).",
Bircher202167,"Anyone listening? No evidence for eavesdropping on male singing interactions in the great tit, Parus major","Bircher, N. and van Oers, K. and Naguib, M.",Animal Behaviour,33472,176,NA,67-76,,,2021,Academic Press,,,10.1016/j.anbehav.2021.03.009,"Observing interactions between others can provide important information to individuals. Male songbirds often engage in singing contests where they vary the type and timing of signals and provide eavesdropping individuals with information about their competitiveness. How this information is used and its effect on subsequent spatial behaviour and reproductive decisions of eavesdroppers is not well understood. Here we tested whether great tits use information gathered by eavesdropping on male singing interactions to assess rivals and (potential) mates. We used interactive playback experiments to engage territorial males in song contests with either a more (song overlapping and more persistent singing) or less challenging (song alternating and less persistent singing) intruder. We followed male and female movements by automated radiotracking, determined paternity using microsatellite analysis and maternal investment by quantifying egg weights and provisioning behaviour. We expected that mates of males exposed to the challenging treatment would subsequently foray more often off territory to assess other males and potential extrapair mates and invest less in their broods. Moreover, we expected that neighbours would adjust their foraying behaviour according to information gained by eavesdropping. Females, however, did not alter their foraying behaviour or brood investment and neither female nor male neighbours changed their visiting behaviour to playback territories. Our results provide no evidence that females used information gathered by eavesdropping on asymmetric song interactions in reproductive decisions or that song interactions affected movements across territories in the neighbourhood. Overlapping or singing for a longer time on an intruded upon territory may not always be perceived as a higher level of threat, and reproductive decisions and assessment of familiar individuals are likely to be based on multiple sources of information rather than on a single interaction. Â© 2021 The Authors",
Fresneau2020899,Are offspring begging levels exaggerated beyond the parental optimum? Evidence from a bidirectional selection experiment,"Fresneau, N. and Estramil, N. and MÃ¼ller, W.",Journal of Evolutionary Biology,1010061X,33,7,899-910,,,2020,Blackwell Publishing Ltd,,,10.1111/jeb.13621,"Parental care involves elaborate behavioural interactions between parents and their offspring, with offspring stimulating their parents via begging to provision resources. Thus, begging has direct fitness benefits as it enhances offspring growth and survival. It is nevertheless subject to a complex evolutionary trajectory, because begging may serve as a means for the offspring to manipulate parents in the context of evolutionary conflicts of interest. Furthermore, it has been hypothesized that begging is coadapted and potentially genetically correlated with parental care traits as a result of social selection. Further experiments on the causal processes that shape the evolution of begging are therefore essential. We applied bidirectional artificial selection on begging behaviour, using canaries (Serinus canaria) as a model species. We measured the response to selection, the consequences for offspring development, changes in parental care traits, here the rate of parental provisioning, as well as the effects on reproductive success. After three generations of selection, offspring differed in begging behaviour according to our artificial selection regime: nestlings of the high begging line begged significantly more than nestlings of the low begging line. Intriguingly, begging less benefitted the nestlings, as reflected by on average significantly higher growth rates, and increased reproductive success in terms of a higher number of fledglings in the low selected line. Begging could thus represent an exaggerated trait, possibly because parentâ€“offspring conflict enhanced the selection on begging. We did not find evidence that we co-selected on parental provisioning, which may be due to the lack of power, but may also suggest that the evolution of begging is probably not constrained by a genetic correlation between parental provisioning and offspring begging. Â© 2020 European Society For Evolutionary Biology. Journal of Evolutionary Biology Â© 2020 European Society For Evolutionary Biology",
Sion2020,Asymmetric behavior in Ptyodactylus guttatus: Can a digit ratio reflect brain laterality?,"Sion, G. and Tal, R. and Meiri, S.",Symmetry,20738994,12,9,NA,,,2020,MDPI AG,,,10.3390/sym12091490,"The digit ratio, an indicator of brain laterality, is the ratio of the second and fourth digits on the left (L24) or right foot (R24). Much of the research on the digit ratio and brain laterality focuses on primates, rather than other species such as reptiles. We tested whether the digit ratio in the gecko Ptyodactylus guttatus was associated with behaviors attributed to brain laterality. We examined risk-taking behavior (time spent under cover), foot preference (which foot was the first to start moving) and the side from which geckos bypassed an obstacle, in relation to the digit ratio. Geckos with longer fourth digits on their left hind foot (higher digit ratio) spent more time under cover. Geckos starting to move with their left leg were much more likely to bypass obstacles from the right side, and vice versa. This is the first evidence of laterality being associated with the digit ratio in reptiles. Comparisons among vertebrates are needed in order to decipher the evolutionary origin of the commonalities and peculiarities of brain asymmetry and disentangle the patterns and drivers of our evolutionary tree. Â© 2020 by the authors. ",
Schat2021387,Avian immunosuppressive diseases and immune evasion,"Schat, K.A. and Skinner, M.A.",Avian Immunology,NA,NA,NA,387-417,,,2021,Elsevier,,,10.1016/B978-0-12-818708-1.00018-X,"Subclinical immunosuppression in chickens is an important but often underestimated factor in the subsequent development of clinical disease. Immunosuppression can be caused by pathogens such as chicken infectious anemia virus, infectious bursal disease virus, reovirus, and some retroviruses (e.g., reticuloendotheliosis virus). Mycotoxins and stress, often caused by poor management practices, can also cause immunosuppression. The effects on the innate and acquired immune responses and the mechanisms by which mycotoxins, stress, and infectious agents cause immunosuppression are discussed. Immunoevasion is a common ploy by which viruses neutralize or evade immune responses. DNA viruses such as herpesvirus and poxvirus have multiple genes, some of them host-derived, which interfere with effective innate or acquired immune responses. RNA viruses may escape acquired humoral and cellular immune responses by mutations in protective antigenic epitopes (e.g., avian influenza viruses), while accessory nonstructural proteins or multifunctional structural proteins interfere with the interferon system (e.g., Newcastle disease virus). Â© 2022 Elsevier Ltd. All rights reserved.",
Ledwo.U.00C5..U.201E.2022,Baseline and stress-induced prolactin and corticosterone concentrations in a species with female offspring desertion â€“ The case of Whiskered Tern Chlidonias hybrida,"LedwoÅ„, M. and Flis, A. and Banach, A. and Neubauer, G. and Angelier, F.",General and Comparative Endocrinology,166480,317,NA,NA,,,2022,Academic Press Inc.,,,10.1016/j.ygcen.2021.113943,"To understand the proximate mechanisms regulating brood desertion, we studied hormonal and behavioural stress responses during the chick-rearing period in adult Whiskered Terns (Chlidonias hybrida), a socially monogamous, semi-precocial species with prolonged post-fledging parental care. In contrast to males, almost all females of this species desert during the chick-rearing and post-fledging periods. Because of the expected link between corticosterone, prolactin and parental investment, we hypothesized that males and females should differ in circulating prolactin and corticosterone concentrations. Baseline hormone concentrations did not differ between males and females. In both sexes, prolactin and corticosterone concentrations decreased and increased in response to acute stress (30 min after capture), respectively. Baseline and stress-induced prolactin concentrations decreased significantly in both sexes with advancing brood age. As expected, males had significantly higher stress-induced prolactin concentrations than females. None of the nine males released after being held in captivity for 24 h deserted, whereas four (29%) of the 14 females kept in captivity for 24 h did so. Altogether, these results suggest that higher prolactin concentrations may be involved in the maintenance of parental care under stress. However, there was no statistically significant difference in stress-induced hormone levels between males, females that deserted and those that returned to the nest after prolonged stress (24 h). Our data indicate that males are probably more resistant to stress as regards the continuation of parental care. The pattern of male and female behavioural and hormonal responses to stress partially predicts their behaviour in terms of natural desertion. Â© 2021 The Authors",
deBuffr.U.00C3..U.00A9.nil2021193,Basic processes in bone growth,"de BuffrÃ©nil, V. and Quilhac, A.",Vertebrate Skeletal Histology and Paleohistology,NA,NA,NA,193-220,,,2021,CRC Press,,,NA,NA,
Fortuna202249,Begging and feeding responses vary with relatedness and sex of provisioners in a cooperative breeder,"Fortuna, R. and D'Amelio, P.B. and Doutrelant, C. and Ferreira, A.C. and Lecq, C. and Silva, L.R. and Covas, R. and Rybak, F. and Paquet, M.",Animal Behaviour,33472,185,NA,49-71,,,2022,Academic Press,,,10.1016/j.anbehav.2021.12.015,"Begging behaviour can provide information on offspring hunger levels and be used by parents to adjust food provisioning efforts. In cooperative breeders, helpers also provide care by feeding the young. However, how helpers of different sex and relatedness to the offspring respond to begging behaviour has rarely been studied in cooperatively breeding species, which limits our understanding of the indirect and/or direct benefits that helpers may obtain by responding to offspring demand. Here, we used a cooperatively breeding bird, the sociable weaver, Philetairus socius, to investigate how nest intervisit intervals of breeders and different types of helpers, distinguished by sex and relatedness, varied with acoustic begging. Moreover, we tested whether these different classes of provisioners experienced distinct levels of begging. Our results show that only breeding males, but not breeding females or helpers of any sex and relatedness to the nestlings, returned faster to the nest to feed after experiencing more begging calls. When contrasted directly, we confirmed a statistically supported difference in responses to begging between male and female breeders. Surprisingly, second-order relatives experienced more begging calls than the other classes of more related helpers and breeders. These results show that we might find differences in how provisioners respond to begging levels when classifying group members according to their potential fitness gains. In sociable weavers, the benefits and costs of adjusting feeding efforts to begging seem to differ with sex and life history stage. Experimental and more detailed investigations on beggingâ€“feeding interactions are necessary to understand the origin and prevalence of these differences across cooperatively breeding systems. Â© 2021 The Author(s)",
Rozempolska.Ruci.U.00C5..U.201E.ska2020,Behavioural variability in chicks vs. The pattern of behaviour in adult hens,"Rozempolska-RuciÅ„ska, I. and Kasperek, K. and Drabik, K. and ZiÄ™ba, G. and ZiemiaÅ„ska, A.",Animals,20762615,10,2,NA,,,2020,MDPI AG,,,10.3390/ani10020269,"The aim of the study was to assess the behaviour of chicks of three different breeds of laying hens differing in the activity, emotional reactivity, and environmental preferences. Another objective was to answer the question whether the behavioural differences between adult birds would be evident already in the chick period or whether they are an effect of the further modifying impact of the environment. 60 green-legged partridge, 60 Polbar, and 60 Leghorn chicks were used in the experiments. The chicks hatched in a flock where hens were previously assessed with behavioural tests and the corticosterone levels in their feathers was determined, indicating significant differences in the temperament and stress level between the breeds. Five tests were carried out: two on competitiveness, activity, interest and fearfulness/curiosity. The experiments revealed considerable differences between the chicks. The Zk birds coped better with situations requiring swiftness and initiative. The Pb chicks were slower than Zk and Lg and did not make quick decisions. Hence, a lower number of these birds entering and leaving the test cage and staying inside was recorded. The Zk chicks exhibited a higher level of fearfulness than the other breeds. In terms of the environment enrichment elements, sand and woodchips were more attractive to the Zk chicks, whereas the Lg and Pb birds preferred pecking the string. No differences in the time of undertaking the analysed activities were found between the breeds. Â© 2020 by the authors. Licensee MDPI, Basel, Switzerland.",
Griebel2020,Benefits of an anti-parasite treatment are influenced by within-brood size variation in Tree Swallows (Tachycineta bicolor),"Griebel, I.A. and Dawson, R.D.",Auk,48038,137,2,NA,,,2020,Oxford University Press,,,10.1093/auk/ukz078,"In all animals, susceptibility to parasites can differ among individuals. Young, nest-bound birds are exposed to a diversity of nest-dwelling ectoparasites that typically feed on their blood. Within broods, hatching asynchrony creates size hierarchies that result in morphological and physiological variation among nest mates, and susceptibility to parasites also may vary predictably with this size hierarchy. Our objective was to use a broad-spectrum, anti-parasite drug, ivermectin (IVM), to treat individual nestling Tree Swallows (Tachycineta bicolor) and assess how nestling susceptibility to parasites varied both within and among broods. Broods were either assigned to an IVM group, where half of the nestlings in a brood received IVM injections and half received control injections of pure sesame oil, or to a control group, where all nestlings received oil injections. We found that the IVM treatment reduced parasite loads for broods as a whole, thereby benefiting all nestlings in IVM broods and suggesting our treatment resulted in herd immunity. Specifically, nestlings from IVM broods had higher hemoglobin concentrations, regardless of whether they received injections with IVM or oil, and greater fledging success, than nestlings from control broods. On the contrary, IVM treatment did not strongly affect nestling morphology, with only marginal effects on the growth rate of ninth primary feathers, and the effects of the treatment on 2 other morphological traits depending on temporal factors. Variation in size within broods, however, influenced the chance of an individual fledging, which increased with relative size within a brood, but only under lower parasite loads (i.e. IVM broods). By experimentally manipulating nestling susceptibility to parasites, we have demonstrated variation in nestling response to an anti-parasite treatment both within and among broods, and future studies should investigate the underlying mechanism for why certain nestlings along the brood size hierarchy are more susceptible to parasites. Copyright Â© American Ornithological Society 2020. All rights reserved. For permissions, e-mail: journals.permissions@oup.com.",
