"label","title","author","journal","issn","volume","number","pages","year","publisher","doi","abstract"
"X.ISI.000368343100006","Food supplementation reveals constraints and adaptability of egg quality in the magpie Pica pica","Siitari, Heli and Alatalo, Rauno and Pihlaja, Marjo and Hamalainen, Jenny and Blount, Jonathan D. and Groothuis, Ton G. and Hytonen, Vesa P. and Surai, Peter and Soulsbury, Carl D.","AVIAN BIOLOGY RESEARCH","1758-1559","8","4","244-253","2015","SCIENCE REVIEWS 2000 LTD","10.3184/175815515X14460614674603","Differences in the deposition of limited maternal resources to eggs can reflect the optimal allocation to manipulate offspring phenotype, or constraints caused by maternal condition. We examined multiple maternal substances transferred to eggs in the magpie Pica pica to test the hypothesis that certain substances represent constraint and some optimal allocation. We did this by supplementary feeding magpies prior to egg-laying and then comparing the effect of food on maternal substances in conjunction with laying order relative to a control group. Certain substances such as carotenoids, immunoglobulins and avidin responded positively to food supplementation, whereas others, such as testosterone and total protein content of eggs, did not. Immunoglobulin allocation increased with laying order in fed but not in unfed groups. Our results suggest that patterns of optimal allocation and constraint in maternally-provisioned substances co-occur within clutches. Furthermore, constraint and optimal allocation may co-occur within the same substance i.e. immunoglobulins, highlighting the complexities of maternal resource allocation."
"X.ISI.000366438400028","Hormonally-mediated maternal effects in birds: Lessons from the flycatcher model system","Ruuskanen, Suvi","GENERAL AND COMPARATIVE ENDOCRINOLOGY","0016-6480","224",NA,"283-293","2015","ACADEMIC PRESS INC ELSEVIER SCIENCE","10.1016/j.ygcen.2015.09.016","Maternal effects are a crucial mechanism in many taxa in generating phenotypic variation, affecting offspring development and fitness and thereby potentially adapting them to their expected environments. Androgen hormones in bird eggs have attracted considerable interest in past years, and it is frequently assumed that their concentrations in eggs are shaped by Darwinian selection. Currently, however, the data is scattered over species with very different life-history strategies, environments and selection pressures, making it difficult to draw any firm conclusions as to their functional significance for a given system. I review the evidence available as to the function, variation and potential adaptive value of yolk androgens (testosterone, T and androstenedione, A4) using one well-studied wild bird model system, the European flycatchers Ficedula hypoleuca and Ficedula albicollis. These species both show genetic and environmental variation in yolk androgen levels, along with fitness correlations for the female, suggesting the potential for selection. However, variation in yolk T and A4 seem to be differentially affected, suggesting that maternal constraints/costs shape the transfer of the yolk steroids differently. Most of the environmental variation is consistent with the idea of high yolk androgen levels under poor rearing conditions, although the effect sizes in relation to environmental variation are rather small in relation to genetic among-female variation. Importantly, within-clutch patterns too vary in relation to environmental conditions. Yolk androgens seem to have multiple short- and long-term effects on phenotype and behavior; importantly, they are also correlated with the fitness of offspring and mothers. However, the effects are often sex-dependent, and not universally beneficial for the offspring. Unfortunately, conclusive data as to the adaptive benefits of clutch mean androgen levels or within clutch-patterns in different environmental conditions is still lacking. (C) 2015 Elsevier Inc. All rights reserved."
"X.ISI.000369905300001","Maternal effects, malaria infections and the badge size of the house sparrow","Birget, Philip L. G. and Larcombe, Stephen D.","AVIAN RESEARCH","2053-7166","6",NA,NA,"2015","BMC","10.1186/s40657-015-0029-7","Background: The evolution of sexual signals is not only determined by immediate sexual selection but also by selection arising from the environment and the interaction with developmental effects. In this study we aimed to investigate how the badge size of male house sparrows (Passer domesticus) is correlated to avian malaria infections as well as to prenatal testosterone exposure, measured as the 2D:4D digit ratio. The rationale behind this study is that the immunosuppressive effect of maternal testosterone deposition combined with the fitness cost imposed by parasites may cause important trade-offs to the development of secondary sexual signals. Methods: Assuming that vector abundance is a key variable associated with infection risk by avian malaria, we caught adult male sparrows from eight different populations in the Camargue, France, four of which were located in a vector-controlled area, and the other four in an untreated area. For each bird we measured its badge size, digit ratio and took blood to determine its infections status. We used PCR to identify the malaria parasite species and strain that caused the infection. Results: Contrary to our expectation, prevalence of disease did not differ across the vector-treatment regions, with around 80 \% of birds being infected in both areas, and those infections were caused largely by a single strain, Plasmodium relictum SGS1. Although infected birds had a badge size not significantly different from uninfected males, there was a condition-dependent association between badge size, infection status and maternal testosterone deposition. Conclusions: This study illustrates that the complexity of temporal and ecological dimensions makes the relationships between disease, testosterone-related traits and secondary sexual signals that have been previously reported less general than thought."
"X.ISI.000361007700006","Reproductive effort of both male and female Bar-throated Apalis Apalis thoracica is predicted by ornamentation of self and mate","van Dijk, Rene E. and Robles, Raquel and Groothuis, Ton G. G. and de Vries, Bonnie and Eising, Corine M.","IBIS","0019-1019","157","4","731-742","2015","WILEY","10.1111/ibi.12279","Melanin-based plumage ornaments have been shown to play an important role in male-male competition, but also influence inter-sexual communication. Consequently, ornaments may be associated with reproductive effort of both males and females. Females mated to males with larger melanin ornaments may acquire access to better territories or benefit from increased paternal care. Here we investigated whether the melanin-based breast-band of male and female Bar-throated Apalis Apalis thoracica is a signal of information about its bearer and is associated with male and female reproductive effort. Breast-band size was a highly variable morphometric trait in both sexes, but only in males was it associated with body mass. We then assessed whether male and female breast-band size predicted maternal and paternal investment. Egg mass increased with male breast-band size, but decreased with female breast-band size. Whether females adjust maternal hormone allocation in response to their partner's ornamentation remains a contentious issue. We found that yolk testosterone and androstenedione concentrations were not predicted by male ornamentation or body mass. Finally, males with larger breast-bands provided their mates with more food, allowing those females to spend more time incubating. Reproductive effort of both parents is therefore predicted by their own and their mate's ornamentation in Bar-throated Apalis, and thus breast-band size potentially acts as a signal of reproductive performance in both sexes. These results highlight the need for more comprehensive analyses of a relationship between melanin-based ornaments and fitness, incorporating multiple behavioural variables associated with reproductive effort."
"X.ISI.000360072900005","Preovulatory Maternal Effects on Intra- and Interpopulation Variation in Sex Ratios and Phenotypic Characteristics of Magdalena River Turtles (Podocnemis lewyana)","Paez, Vivian P. and Echeverri-G, Laura and Bock, Brian C. and Bowden, Rachel M. and Hinestroza, Lina M.","HERPETOLOGICA","0018-0831","71","3","196-202","2015","HERPETOLOGISTS LEAGUE","10.1655/HERPETOLOGICA-D-14-00036","In oviparous species, preovulatory maternal effects such as investment in yolk quantity and composition or levels of yolk steroid hormones might potentially affect hatchling body sizes, growth rates, performance, and sex in species with temperature-dependent sex determination. We investigated the effects of egg mass and levels of testosterone and 17 beta-estradiol in the yolk on the phenotypes of hatchling Magdalena River Turtles (Podocnemis lewyana) in three populations in the Magdalena River drainage of northern Colombia. We hypothesized that, under homogeneous incubation conditions, the differences documented among clutches would be attributed to familial effects, caused by either heritable genetic factors or preovulatory maternal effects. Eggs were incubated artificially at the pivotal temperature for the species 33.4 degrees C) and hatchlings were reared in the laboratory for 2 mo. Two eggs from each clutch were tested for testosterone and 17 beta-estradiol Sex ratios, hatchling size, mass and rights times varied both between clutches within between populations. Egg mass Was positively related to hatchling body size and mass, both at hatching and at 2 mo of age. Levels of 17 beta-estradiol concentrations influenced hatching success rates and incubation periods. Sex ratios were marginally related to 17 beta-estradiol levels, with clutches and sites with higher levels tending to produce fewer males. Our results provide evidence that preovulatory maternal effects play a role in influencing phenotypic attributes related to hatchling survivorship such as size, growth rate, and performance, and also seem to interact with incubation temperature to determine the sex of each individual and the sex ratio of the clutch, which has implications for both parental and offspring fitness."
"X.ISI.000358948500009","Vitamin E deficiency in last-laid eggs limits growth of yellow-legged gull chicks","Parolini, Marco and Romano, Maria and Caprioli, Manuela and Rubolini, Diego and Saino, Nicola","FUNCTIONAL ECOLOGY","0269-8463","29","8","1070-1077","2015","WILEY","10.1111/1365-2435.12412","Parental phenotype and environment have cascading effects on offspring performance. Such maternal' effects are often mediated by the size and quality of the eggs in terms of maternal endogenous substances or exogenous components. Maternal effects can function to maximize parental fitness via adaptive allocation of components among sibling eggs. In birds, the often documented variation in concentration of egg dietary antioxidants or other egg compounds with laying order may thus reflect adaptive parental favouritism or maternal physiological constraints. Vitamins are found in the yolk at high concentrations and accomplish important physiological functions. Tocopherols (vitamin E') have major roles in antioxidant protection, but the consequence of variation in their concentration for chick phenotype has never been experimentally investigated under a natural selection regime. In the yellow-legged gull (Larus michahellis) free-ranging population we studied, vitamin E concentration and egg size decline from the first to the third (last) egg. Chicks from third eggs are smaller and have lower viability compared to those from sibling eggs. Here, we tested the effect of injecting a physiological dose of vitamin E in the egg yolk on chick body size at hatching by comparison with chicks from sham-injected eggs. As predicted, chicks from vitamin E injected third eggs were larger than chicks from control third eggs, whereas vitamin E had no effect on chicks from the other eggs. Thus, vitamin E injection disrupted the brood size hierarchy according to laying order normally found in this species. In species that adopt a brood reduction strategy, differential allocation of vitamin E to the eggs can contribute to establish a hierarchy of reproductive value among progeny members functioning to maximize parental fitness. The present results therefore have general implications for the study of the evolution of maternal effects mediated by transfer of potentially limiting maternal antioxidants to the eggs."
"X.ISI.000358018400003","Changes in the concentrations of four maternal steroids during embryonic development in the threespined stickleback (Gasterosteus aculeatus)","Paitz, Ryan Thomas and Mommer, Brett Christian and Suhr, Elissa and Bell, Alison Marie","JOURNAL OF EXPERIMENTAL ZOOLOGY PART A-ECOLOGICAL AND INTEGRATIVE PHYSIOLOGY","2471-5638","323","7","422-429","2015","WILEY","10.1002/jez.1937","Embryonic exposure to steroids often leads to long-term phenotypic effects. It has been hypothesized that mothers may be able to create a steroid environment that adjusts the phenotypes of offspring to current environmental conditions. Complicating this hypothesis is the potential for developing embryos to modulate their early endocrine environment. This study utilized the threespined stickleback (Gasterosteus aculeatus) to characterize the early endocrine environment within eggs by measuring four steroids (progesterone, testosterone, estradiol, and cortisol) of maternal origin. We then examined how the concentrations of these four steroids changed over the first 12 days post fertilization (dpf). Progesterone, testosterone, estradiol, and cortisol of maternal origin could be detected within unfertilized eggs and levels of all four steroids declined in the first 3 days following fertilization. While levels of progesterone, testosterone, and estradiol remained low after the initial decline, levels of cortisol rose again by 8dpf. These results demonstrate that G. aculeatus embryos begin development in the presence of a number of maternal steroids but levels begin to change quickly following fertilization. This suggests that embryonic processes change the early endocrine environment and hence influence the ability of maternal steroids to affect development. With these findings, G. aculeatus becomes an intriguing system in which to study how selection may act on both maternal and embryonic processes to shape the evolutionary consequence of steroid-mediated maternal effects. J. Exp. Zool. 323A: 422-429, 2015. (c) 2015 Wiley Periodicals, Inc."
"X.ISI.000359606200005","Context-dependent effects of yolk androgens on nestling growth and immune function in a multibrooded passerine","Muriel, J. and Salmon, P. and Nunez-Buiza, A. and de Salas, F. and Perez-Rodriguez, L. and Puerta, M. and Gil, D.","JOURNAL OF EVOLUTIONARY BIOLOGY","1010-061X","28","8","1476-1488","2015","WILEY","10.1111/jeb.12668","Female birds may adjust their offspring phenotype to the specific requirements of the environment by differential allocation of physiologically active substances into yolks, such as androgens. Yolk androgens have been shown to accelerate embryonic development, growth rate and competitive ability of nestlings, but they can also entail immunological costs. The balance between costs and benefits of androgen allocation is expected to depend on nestling environment. We tested this hypothesis in a multibrooded passerine, the spotless starling, Sturnus unicolor. We experimentally manipulated yolk androgen levels using a between-brood design and evaluated its effects on nestling development, survival and immune function. Both in first and replacement broods, the embryonic development period was shorter for androgen-treated chicks than controls, but there were no differences in second broods. In replacement broods, androgen-treated chicks were heavier and larger than those hatched from control eggs, but this effect was not observed in the other breeding attempts. Androgen exposure reduced survival with respect to controls only in second broods. Regarding immune function, we detected nonsignificant trends for androgen treatment to activate two important components of innate and adaptive immunity (IL-6 and Ig-A levels, respectively). Similarly, androgen-treated chicks showed greater lymphocyte proliferation than controls in the first brood and an opposite trend in the second brood. Our results indicate that yolk androgen effects on nestling development and immunity depend on the environmental conditions of each breeding attempt. Variation in maternal androgen allocation to eggs could be explained as the result of context-dependent optimal strategies to maximize offspring fitness."
"X.ISI.000358546400112","Differential Effects of Maternal Yolk Androgens on Male and Female Offspring: A Role for Sex-Specific Selection?","Tschirren, Barbara","PLOS ONE","1932-6203","10","7",NA,"2015","PUBLIC LIBRARY SCIENCE","10.1371/journal.pone.0133673","Maternal hormones are important mediators of prenatal maternal effects in animals. Although their effects on offspring phenotype are often sex-specific, the reason why sometimes sons are more sensitive to prenatal hormone exposure and sometimes daughters is not well understood. Here I combine an experimental manipulation of yolk testosterone concentration in the egg and quantification of selection acting on yolk androgen-sensitive traits in a natural population of great tits (Parus major) with a literature review to test the hypothesis that sex-specific selection on traits affected by yolk androgens determines which sex is more sensitive to prenatal hormone exposure. An experimental increase of the testosterone content in the egg boosted the post-hatching growth of male, but not female great tit nestlings. However, I found no evidence that survival selection on body mass or size is acting differently in the two sexes. A literature review revealed that yolk androgen manipulations affect the growth of males and females differently across species. Interestingly, in studies performed in the wild a significant association between the strength and direction of sexual size dimorphism and sex-specific sensitivities to yolk androgens was observed. In studies performed in captivity, no such relationship was found. Thus, across species there is some evidence that sex-specific selection on body size influences how strongly growth trajectories of males and females are affected by maternally-derived yolk androgens."
"X.ISI.000358301300018","Diverse dose-response effects of yolk androgens on embryo development and nestling growth in a wild passerine","Muriel, Jaime and Perez-Rodriguez, Lorenzo and Puerta, Marisa and Gil, Diego","JOURNAL OF EXPERIMENTAL BIOLOGY","0022-0949","218","14","2241-2249","2015","COMPANY BIOLOGISTS LTD","10.1242/jeb.118257","Avian egg yolks contain various amounts of maternally derived androgens that can modify offspring phenotype and adjust their development to the post-hatching environment. Seemingly adaptive variation in yolk androgen levels with respect to breeding density conditions or male attractiveness has been found in numerous studies. One important consideration that has been overlooked in previous research is the likely non-linear nature of hormone effects. To examine possible complex dose-response effects of maternal androgens on chick development, we experimentally administered three different androgen doses of the naturally occurring mixture of yolk testosterone and androstenedione to spotless starling eggs (Sturnus unicolor). We found that yolk androgens induce a non-linear dose-response pattern in several traits. Androgens had a stimulatory effect on hatchling body mass and nestling skeletal growth, but maximum values were found at intermediate doses, whereas our highest dose resulted in a decrease. However, the opposite U-shaped effect was found on nestling body mass. We also detected linear negative and positive effects on embryonic development period and nestling gape width, respectively. Our results suggest differential tissue responsiveness to yolk androgens, which may result in compromises in maternal allocation to produce adapted phenotypes. Because of the non-linear dose-response pattern, future investigations should carefully consider a wide range of concentrations, as the balance of costs and benefits may strongly differ depending on concentration."
"X.ISI.000356370400009","Maternal effects and maternal selection arising from variation in allocation of free amino acid to eggs","Newcombe, Devi and Hunt, John and Mitchell, Christopher and Moore, Allen J.","ECOLOGY AND EVOLUTION","2045-7758","5","12","2397-2410","2015","WILEY","10.1002/ece3.1524","Maternal provisioning can have profound effects on offspring phenotypes, or maternal effects, especially early in life. One ubiquitous form of provisioning is in the makeup of egg. However, only a few studies examine the role of specific egg constituents in maternal effects, especially as they relate to maternal selection (a standardized selection gradient reflecting the covariance between maternal traits and offspring fitness). Here, we report on the evolutionary consequences of differences in maternal acquisition and allocation of amino acids to eggs. We manipulated acquisition by varying maternal diet (milkweed or sunflower) in the large milkweed bug, Oncopeltus fasciatus. Variation in allocation was detected by examining two source populations with different evolutionary histories and life-history response to sunflower as food. We measured amino acids composition in eggs in this 2x2 design and found significant effects of source population and maternal diet on egg and nymph mass and of source population, maternal diet, and their interaction on amino acid composition of eggs. We measured significant linear and quadratic maternal selection on offspring mass associated with variation in amino acid allocation. Visualizing the performance surface along the major axes of nonlinear selection and plotting the mean amino acid profile of eggs from each treatment onto the surface revealed a saddle-shaped fitness surface. While maternal selection appears to have influenced how females allocate amino acids, this maternal effect did not evolve equally in the two populations. Furthermore, none of the population means coincided with peak performance. Thus, we found that the composition of free amino acids in eggs was due to variation in both acquisition and allocation, which had significant fitness effects and created selection. However, although there can be an evolutionary response to novel food resources, females may be constrained from reaching phenotypic optima with regard to allocation of free amino acids."
"X.ISI.000353743100013","Are there intergenerational and population-specific effects of oxidative stress in sockeye salmon (Oncorhynchus nerka)?","Taylor, Jessica J. and Wilson, Samantha M. and Sopinka, Natalie M. and Hinch, Scott G. and Patterson, David A. and Cooke, Steven J. and Willmore, William G.","COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR \& INTEGRATIVE PHYSIOLOGY","1095-6433","184",NA,"97-104","2015","ELSEVIER SCIENCE INC","10.1016/j.cbpa.2015.01.022","Intergenerational effects of stress have been reported in a wide range of taxa; however, few researchers have examined the intergenerational consequences of oxidative stress. Oxidative stress occurs in living organisms when reactive oxygen species remain unquenched by antioxidant defense systems and become detrimental to cells. In fish, it is unknown how maternal oxidative stress and antioxidant capacity influence offspring quality. The semelparous, migratory life history of Pacific salmon (Oncorhynchus spp.) provides a unique opportunity to explore intergenerational effects of oxidative stress. This study examined the effects of population origin on maternal and developing offspring oxidative stress and antioxidant capacity, and elucidated intergenerational relationships among populations of sockeye salmon (Oncorhynchus nerka) with varying migration effort. For three geographically distinct populations of Fraser River sockeye salmon (British Columbia, Canada), antioxidant capacity and oxidative stress were measured in adult female plasma, heart, brain, and liver, as well as in developing offspring until time of emergence. Maternal and offspring oxidative stress and antioxidant capacity varied among populations but patterns were not consistent across tissue/developmental stage. Furthermore, maternal oxidative stress and antioxidant capacity did not affect offspring oxidative stress and antioxidant capacity across any of the developmental stages or populations sampled. Our results revealed that offspring develop their endogenous antioxidant systems at varying rates across populations; however, this variability is overcome by the time of emergence. While offspring may be relying on maternally derived antioxidants in the initial stages of development, they rapidly develop their own antioxidant systems (mainly glutathione) during later stages of development (C) 2015 Elsevier Inc. All rights reserved."
"X.ISI.000355573500007","Influence of mate preference and laying order on maternal allocation in a monogamous parrot species with extreme hatching asynchrony","Lahaye, Stefanie E. P. and Eens, Marcel and Iserbyt, Arne and Groothuis, Ton G. G. and de Vries, Bonnie and Muller, Wendt and Pinxten, Rianne","HORMONES AND BEHAVIOR","0018-506X","71",NA,"49-59","2015","ACADEMIC PRESS INC ELSEVIER SCIENCE","10.1016/j.yhbeh.2015.03.009","It is well established that in many avian species, prenatal maternal resource allocation varies both between and within clutches and may affect offspring fitness. Differential allocation of maternal resources, in terms of egg weight and yolk composition, may therefore allow the female to adjust brood reduction and to fine-tune reproductive investment in accordance with the expected fitness returns. The adaptive value of such maternal resource allocation is thought to be context-dependent as well as species-specific. We investigated the effects of female preference for her mate on the allocation of prenatal maternal resources in the budgerigar, Melopsittacus undulatus, a monogamous species of parrot that shows an extreme hatching asynchrony. We assessed mate preferences in a two-way preference test and allowed females two breeding rounds: one with the preferred and one with the non-preferred partner. We found no effect of preference on either latency to lay or clutch size, but females mated with the preferred partner laid eggs that contained significantly more yolk. Their eggs also contained significantly more androstenedione but not testosterone. Our results suggest that in this species, female preference may influence maternal resource allocation, and that the functional roles of each androgen in the yolk should be considered separately. In addition, we found a significant effect of laying order on egg and yolk weight as well as on yolk testosterone and androstenedione levels. These measures, however, did not change linearly with the laying order and render it unlikely that female budgerigars compensate for the extreme hatching asynchrony by adjusting within-clutch allocation of prenatal maternal resources. (C) 2015 Elsevier Inc. All rights reserved."
"X.ISI.000351058700026","A cross-fostering experiment reveals that prenatal environment affects begging behaviour in a cooperative breeder","Paquet, Matthieu and Covas, Rita and Doutrelant, Claire","ANIMAL BEHAVIOUR","0003-3472","102",NA,"251-258","2015","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","10.1016/j.anbehav.2015.01.034","Prenatal breeding conditions have broad influences on maternal allocation to reproduction which can strongly affect future begging behaviours of offspring. The social environment is part of the prenatal environment; however, its influence on maternal allocation has been poorly investigated and experimental tests linking prenatal conditions to begging behaviour have seldom been conducted. In cooperative breeders the presence of additional carers, the helpers, generally predicts an increase in provisioning during the nestling stage. Since begging is costly, in these species producing offspring that beg less in the presence of helpers may be a way of saving energy not only for the offspring but also for the future survival and reproduction of females. To date, whether mothers may manipulate begging behaviour in relation to helper presence is unstudied. We conducted a cross-fostering experiment in a cooperatively breeding bird, the sociable weaver, Philetairus socius, to disentangle the possible effects of prenatal and postnatal environments on begging behaviour. Pre- and postnatal environments correspond here to the number of carers in the nest of origin and the foster nest, respectively. As predicted, begging was influenced by the prenatal environment, with nestlings originally from larger groups begging less. In addition, chicks fed by more foster birds also begged at a lower rate. We conclude that the prenatal environment influences begging behaviour. This result has important implications for understanding cooperative breeding strategies since producing offspring that beg less with more helpers may allow energy savings for females and related offspring and helpers. (C) 2015 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved."
"X.ISI.000349144400133","Maternally Derived Egg Hormones, Antibodies and Antimicrobial Proteins: Common and Different Pathways of Maternal Effects in Japanese Quail","Okuliarova, Monika and Kankova, Zuzana and Bertin, Aline and Leterrier, Christine and Mostl, Erich and Zeman, Michal","PLOS ONE","1932-6203","9","11",NA,"2014","PUBLIC LIBRARY SCIENCE","10.1371/journal.pone.0112817","Avian eggs contain a variety of maternally-derived substances that can influence the development and performance of offspring. The levels of these egg compounds vary in relation to environmental and genetic factors, but little is known about whether there are correlative links between maternal substances in the egg underlying common and different pathways of maternal effects. In the present study, we investigated genetically determined variability and mutually adjusted deposition of sex hormones (testosterone-T, androstenedione-A(4) and progesterone-P-4), antibodies (IgY) and antimicrobial proteins (lysozyme) in eggs of Japanese quail (Coturnix japonica). We used different genetic lines that were independently selected for yolk T concentrations, duration of tonic immobility and social reinstatement behaviour, since both selections for behavioural traits (fearfulness and social motivation, respectively) produced considerable correlative responses in yolk androgen levels. A higher selection potential was found for increased rather than decreased yolk T concentrations, suggesting that there is a physiological minimum in egg T levels. Line differences in yolk IgY concentrations were manifested within each selection experiment, but no consistent inter-line pattern between yolk IgY and T was revealed. On the other hand, a consistent inverse inter-line pattern was recorded between yolk IgY and P-4 in both selections for behavioural traits. In addition, selections for contrasting fearfulness and social motivation were associated with changes in albumen lysozyme concentrations and an inverse inter-line pattern between the deposition of yolk IgY and albumen lysozyme was found in lines selected for the level of social motivation. Thus, our results demonstrate genetically-driven changes in deposition of yolk T, P-4, antibodies and albumen lysozyme in the egg. This genetic variability can partially explain mutually adjusted maternal deposition of sex hormones and immune-competent molecules but the inconsistent pattern of inter-line differences across all selections indicates that there are other underlying mechanisms, which require further studies."
"X.ISI.000345432900028","Interactions between prenatal maternal effects and posthatching conditions in a wild bird population","Giordano, Marta and Groothuis, Ton G. G. and Tschirren, Barbara","BEHAVIORAL ECOLOGY","1045-2249","25","6","1459-1466","2014","OXFORD UNIV PRESS INC","10.1093/beheco/aru149","Resources and cues provided by the mother before birth are important mediators of developmental plasticity. It has been suggested that the adaptive value of such prenatal maternal effects may depend on the environment encountered by the offspring after birth, and that offspring may perform better when environmental conditions encountered by the mother and the offspring match, than when a mismatch occurs. Here, we test how prenatal maternal effects and postnatal conditions interact in influencing offspring growth and development in wild-living great tits (Parus major) by manipulating food availability experienced by the mother before egg laying, partially cross-fostering nestlings between nests, and manipulating food availability after hatching. We observed significant interaction effects between pre- and postnatal food conditions. Nonsupplemented nestlings reached a similar fledging mass, a trait closely linked to postfledging survival, as food-supplemented nestlings when their biological mother had received extra food during egg laying. It shows that prenatal maternal investment can compensate for growth-limiting conditions after hatching. This effect was sex specific, with daughters benefiting more than sons. Furthermore, food-supplemented nestlings grew largest when their biological mother had not received extra food during egg laying, suggesting that offspring were primed prenatally, possibly through differential egg composition, to use resources more efficiently. However, we found no evidence that offspring performed generally better when pre- and postnatal food conditions matched than when a mismatch occurred. Our results demonstrate the importance of considering the postnatal environment when testing for the ecological and evolutionary consequences of prenatal maternal effects in natural populations.Resources transferred by the bird mother via the egg help to reduce the negative consequences of a harsh environment after birth. Furthermore, mothers encountering harsh environmental conditions during egg laying prime their offspring to use available resources more efficiently later in life. Our study shows that the environment encountered before birth can have important long-term consequences on offspring performance and the way animals interact with their environment."
"X.ISI.000341883000014","Natural selection acts in opposite ways on correlated hormonal mediators of prenatal maternal effects in a wild bird population","Tschirren, Barbara and Postma, Erik and Gustafsson, Lars and Groothuis, Ton G. G. and Doligez, Blandine","ECOLOGY LETTERS","1461-023X","17","10","1310-1315","2014","WILEY","10.1111/ele.12339","Maternal hormones are important mediators of prenatal maternal effects. Although many experimental studies have demonstrated their potency in shaping offspring phenotypes, we know remarkably little about their adaptive value. Using long-term data on a wild collared flycatcher (Ficedula albicollis) population, we show that natural selection acts in opposite ways on two maternally derived androgens, yolk androstenedione (A4) and yolk testosterone (T). High yolk A4 concentrations are associated with higher fitness, whereas high yolk T concentrations are associated with lower fitness. Natural selection thus favours females that produce eggs with high A4 and low T concentrations. Importantly, however, there exists a positive (non-genetic) correlation between A4 and T, which suggests that females are limited in their ability to reach this adaptive optimum. Thereby, these results provide strong evidence for an adaptive value of differential maternal androgen deposition, and a mechanistic explanation for the maintenance of variation in maternal investment in the wild."
"X.ISI.000342360200033","Melanic coloration differentially predicts transfer of immune factors to eggs with daughters or sons","Saino, Nicola and Romano, Maria and Rubolini, Diego and Caprioli, Manuela and Costanzo, Alessandra and Canova, Luca and Moller, Anders Pape","BEHAVIORAL ECOLOGY","1045-2249","25","5","1248-1255","2014","OXFORD UNIV PRESS INC","10.1093/beheco/aru112","Maternal allocation shapes offspring phenotype by being tailored to parental phenotype and offspring sex. Because melanogenesis and immunity have partly common genetic control, maternal effects via egg immune factors and parental melanization may covary. Here, we tested whether barn swallows Hirundo rustica allocated antibodies against a novel antigen to their eggs according to embryo sex depending on maternal melanin-based coloration while controlling for paternal tail ornamentation. Egg antibody concentration increased with maternal plumage darkness in broods with relatively more females, whereas it decreased in broods with relatively more males. Thus, darker females allocated more antibodies to their eggs when offspring sex ratio was female biased, whereas paler females allocated more antibodies to the eggs when offspring sex ratio was male biased. These effects were independent of laying order. Our results are compatible with the hypotheses that maternal allocation to sons depends on their reproductive value as predicted by heritable melanin-based coloration and with the hypothesis of differential susceptibility of pheomelanic daughters to parasitism. These effects may depend on pleiotropy of the genes that control melanogenesis and immunity, which may differentially act on investment in self-maintenance and maternal effects. This study is the first study in vertebrates of the association between maternal effects on either sex via egg quality and parental melanization. The links between the genetic control of melanogenesis and of major fitness traits like immunity and the role of maternal effects in reproductive strategies prompt for more studies of the covariation between parental coloration and maternal sex-dependent allocation via egg quality."
"X.ISI.000343628400009","Sex-specific differences in offspring personalities across the laying order in magpies Pica pica","Rokka, Kaisa and Pihlaja, Marjo and Siitari, Heli and Soulsbury, Carl D.","BEHAVIOURAL PROCESSES","0376-6357","107",NA,"79-87","2014","ELSEVIER","10.1016/j.beproc.2014.07.019","Maternal effects provide an important mechanism for mothers to create variation in offspring personality, and to potentially influence offspring life history strategies e.g. creating more/less dispersive phenotypes. However, within-clutch maternal effects often vary and hence there is potential for within-clutch variation in personality. We studied the effects of hatching order on explorative and neophobic behaviour of the magpies Pica pica in relation to sex using novel environment and novel object experiments. Hatching order did affect explorative behaviour in magpie, but did so in opposite directions for either sex. First-hatched females were more explorative and had a tendency to be less neophobic, whereas in males, the reverse was true. Our results suggest that hormonal as well as post-natal environmental mechanisms could be underpinning this pattern. Future research is needed to fully understand the importance of both in creating different offspring personalities. This article is part of a Special Issue entitled: insert SI title. (C) 2014 Elsevier B.V. All rights reserved."
"X.ISI.000339728500008","Consequences of experimentally elevated yolk testosterone levels for intra- and inter-sexual selection in canaries","Vergauwen, Jonas and Eens, Marcel and Muller, Wendt","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","0340-5443","68","8","1299-1309","2014","SPRINGER","10.1007/s00265-014-1740-9","Hormones of maternal origin transferred to the eggs of oviparous species have been shown to significantly affect offspring development. Furthermore, there is now increasing evidence that these effects may last into adulthood. This underlines the persistence of yolk hormone-mediated maternal effects as well as their trans-generational potential as these changes may involve fitness-related traits such as mate choice behaviour, reproductive traits and longevity. Here, we tested the potential of yolk testosterone to affect sexual selection by experimentally increasing the yolk testosterone levels via egg injections. We focused on two central axes of sexual selection, male-male competition for access to a female (intra-sexual selection) and female mate choice behaviour (inter-sexual selection), using canaries (Serinus canaria) as a model species. Neither male agonistic behaviour nor access to the opposite sex, as measured in staged male-male encounters in the presence of a female, were affected by experimentally elevating yolk testosterone levels. We did not find any evidence for effects on female mate choice behaviour either, given the lack of significant effects on mate choice activity, consistency in female mate choice or choosiness. In conclusion, our results indicate that the consequences of yolk testosterone for sexual selection through changes in behavioural traits, which are expressed during pair formation or male-male competition, are probably limited."
